set_number,set_title,term,meaning,mnemonic,part_of_speech,example,synonyms
1,Set 01,Amorphous,নির্দিষ্ট আকৃতি না থাকা,Amoeba এর মত Formless,,A strangely amorphous shadow filled the room.,"shapeless, formless, unformed, vague, indefinite, structureless, liquid"
1,Set 01,Austere,কঠোর / অনাড়ম্বর,অস্ট্রেলিয়ান প্লেয়ারদের মত Strict Routine,,Hazrat Muhammad (PBUH) led an austere life.,"sober, frugal, spartan, ascetic, abstemious, puritanical"
1,Set 01,Abound,উপচে পড়া,"Bound মানে Limited, A মানে না",,This river abounds with fish.,"proliferate, abundant, copious, profuse, inexhaustible, lavish, munificent, galore, superabound, thrive, flourish"
1,Set 01,Belie,মিথ্যা প্রতিপন্ন হওয়া,BE LIE / বিলাই এর মত,,Opu Vai's acts belie his words.,"conceal, falsify, color, contradict"
1,Set 01,Capricious,খামখেয়ালী পরিবর্তন,Car Price এর মত হুটহাট পালটায়,,Bangladesh's weather is capricious.,"fickle, mercurial, erratic, arbitrary, quirky, whimsical, wayward, haphazard, fitful, temperamental"
1,Set 01,Cerebral,আবেগের চেয়ে যুক্তিকে প্রাধান্য দেওয়া,CELebrate with BRAin,,Christopher Nolan makes cerebral films.,"deliberate, sagacious, prudent, perspicacious"
1,Set 01,Congenial,পছন্দ করার মত,Genelia এর মত Friendly,,I find Uni very congenial.,"pleasant, pleasurable, satisfying, gratifying"
1,Set 01,Conspicuous,সুস্পষ্ট / আলাদা করা যায় এমন,CaN See PIC clearly,,Ayman Sadiq was conspicuous among his friends.,"discernible, inescapable, overt, blatant, clear, flagrant"
1,Set 01,Cursory,Detail ছাড়া দ্রুত কাজ করা,মাউস এর CURSOR এর মত দ্রুত নড়ানো,,He gave us a cursory glance.,"perfunctory, desultory, hasty, slapdash, automatic, fleeting, superficial, mechanical"
1,Set 01,Daunting,ভয় দেখিয়ে নিরুৎসাহিত করা,Don এর Acting,,Chota Don was daunting with his acting.,"intimidating, unnerving, ominous, demoralizing, forbidding, taxing, disconcerting"
1,Set 01,Deify,দেবতুল্য করা,মসজিদ / মন্দিরে দেই ফি,,The Romans used to deify their emperors.,"lionize, aggrandize, extol, exalt, adore, immortalize, revere, venerate, reverence"
1,Set 01,Didactic,অতিরিক্ত উপদেশ দেওয়া,দাদীর মত বেশি বুঝা,,Dr. Abdoon Noor Tushar talks in a didactic tone in every possible issue.,"educative, edifying, pedantic, scholastic, heuristic, doctrinal, academic"
1,Set 01,Disseminate,ছড়িয়ে দেওয়া,Distribute in a seminar,,BDC will disseminate debate in Bangladesh.,"disperse, diffuse, tout, dissipate, herald, trumpet, proclaim, promulgate"
1,Set 01,Feasible,সম্ভবপর,fEASIble - Easy to do,,It's not feasible to dismiss him.,"expedient, achievable, viable, realistic, suitable, constructive, earthly, practical"
1,Set 01,Flout,নিয়ম অমান্য করা,FouL & tOUT,,Many motor-bikers flout the law by not wearing helmets.,"defy, disdain, contravene, infringe, breach, infract, scoff, defiant"
1,Set 01,Homogeneous,একই রকম / সমজাতীয়,HOMe এর সবার যেমন একই ধরনের GENE থাকে,,"Anthropology does not only talk about homogeneous, but also heterogeneous people.","analogous, equivalent, parallel, kindred, correlative, congruent, cognate, akin"
1,Set 01,Humdrum,একঘেয়ে / গতানুগতিক,Humdum সিনেমার মত বোরিং,,We lead such a humdrum corporate life.,"mundane, dreary, tedious, monotonous, banal, prosaic, quotidian, commonplace, workaday, hackneyed, trite"
1,Set 01,Insipid,বিস্বাদ,taking the SIP IN is stuPID,,"After an hour of insipid conversation, I left.","bland, weak, vapid, commonplace, prosaic, trite, banal, hackneyed"
1,Set 01,Loquacious,প্রচুর অদরকারি কথা বলা,লোকি বার এর মানুষদের মত বেশি কথা বলা,,His loquacious good-humor infected everyone.,"garrulous, voluble, verbose, profuse, prolix, effusive, gabby"
1,Set 01,Misanthropic,অসামাজিক / সবাইকে ঘৃণা করা,মিছা কথা বলা Anthropologist,,An anthropologist should not be misanthropic.,"reclusive, uncongenial, cynical, sceptical, jaundiced, narrow-minded"
1,Set 01,Misnomer,ভুল নাম দেওয়া,MIS naME,,To call it a hostel is a misnomer - it was more like a prison.,
1,Set 01,Negligent,পাত্তা না দেওয়া / অবহেলা,Negative Intelligent,,She was negligent in her work.,"lax, heedless, slack, slapdash, slipshod, barratrous, delinquent, repellent"
1,Set 01,Obsequious,চাটুকার,SEQUOIa এর ফান্ড এর প্রতি OBSessed,,He is embarrassingly obsequious to become a teacher of his department.,"servile, ingratiating, unctuous, sycophantic, subservient, submissive, bootlicking"
1,Set 01,Placate,কারো রাগ কমানো,Playing like a cat,,I never attempt to placate my enemy.,"pacify, appease, mollify, conciliate, propitiate"
1,Set 01,Proclivity,প্রবণতা / ঝোঁক,কোন aCtIVITY এর PRO (প্রবণতা),,Peace Committee had a proclivity toward violence.,"inclination, propensity, bias, penchant, predilection, taste, disposition, predisposition"
1,Set 01,Puerile,ছেলেমানুষী,Pure like a child,,Prova is puerile with her excuses.,"infantile, juvenile, fatuous, foolish"
1,Set 01,Quixotic,ভাববিলাসী,Quick Exotic / দুর্দান্ত কিছু করার স্বপ্ন,,Grameenphone organized a quixotic marketing campaign.,"idealistic, romantic, extravagant, visionary, utopian, unrealistic, impossible, inefficacious"
1,Set 01,Spendthrift,প্রচুর অপচয় করা,SPEND like a THIeF,,Sadaf is very spendthrift with his savings.,"profligate, prodigal, squanderer, extravagant"
1,Set 01,Taciturn,স্বল্পভাষী,TAxI TURN,,"He is a reserved, taciturn person.","reticent, secretive, inarticulate, aloof, cold, laconic"
1,Set 01,Wary,সাবধান হওয়া / সাবধানতা দেখানো,WAtch cARefully,,"My pet, Uni is wary of strangers.","circumspect, prudent, vigilant, sceptical, dubious, guarded"
2,Set 02,Adulterate,মান কমিয়ে ফেলা,DUL The RATE,,The milk has been adulterated with water.,"degrade, debase, contaminate, sully, dilute, weaken, bastardize, corrupt, vitiate"
2,Set 02,Advocate,উকিল/ওকালতি করা,ADd VOCal [বক্তব্য যুক্ত করা],,I advocate the policy of SDG.,"champion, proponent, patron, propagandist, apologist"
2,Set 02,Aggrandize,কোন কিছুকে বড় করে তোলা,AGgregate something to make GRAND,,Sheikh Hasina wanted to aggrandize Bangladesh's GDP.,embellished
2,Set 02,Alacrity,হাস্যোজ্জ্বল ও সদাপ্রস্তুত / আলাপচারিতা,ALert like CReaTIve people,,She accepted his offer with alacrity.,"enthusiasm, ardour, fervour, liveliness, zeal, haste, briskness, swiftness"
